timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775599554255,443,/docs/common/netcheck.gif-1,200,OK,Website1 1-1,bin,false,"The operation lasted too long: It took 443 milliseconds, but should not have lasted longer than 250 milliseconds.",800,882,1,1,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,443,0,364
1775599554703,123,/-2,200,OK,Website1 1-1,text,true,,51394,704,1,1,https://www.w3schools.com/,87,0,42
1775599554828,187,/v1:GetHints?-3,200,OK,Website1 1-1,text,true,,576,646,1,1,https://optimizationguide-pa.googleapis.com/v1:GetHints?,186,0,104
1775599555017,262,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-1,,false,"The operation lasted too long: It took 262 milliseconds, but should not have lasted longer than 250 milliseconds.",394,567,2,2,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,40
1775599555149,191,/docs/common/netcheck.gif-1,200,OK,Website1 1-2,bin,true,,800,882,2,2,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,191,0,121
1775599555342,68,/-2,200,OK,Website1 1-2,text,true,,51394,704,2,2,https://www.w3schools.com/,63,0,36
1775599555280,265,/consent-require-renewal?_profile=stub-2-5,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 265 milliseconds, but should not have lasted longer than 250 milliseconds.",1003,3653,2,2,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,265,0,0
1775599555547,70,/r/r1.crl-9,200,OK,Website1 1-1,text,true,,1706,150,2,2,http://c.pki.goog/r/r1.crl,70,0,33
1775599555411,219,/v1:GetHints?-3,200,OK,Website1 1-2,text,true,,583,646,2,2,https://optimizationguide-pa.googleapis.com/v1:GetHints?,208,0,133
1775599555631,243,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-2,,true,,394,567,2,2,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,39
1775599555874,221,/consent-require-renewal?_profile=stub-2-5,200,OK,Website1 1-2,text,true,,1003,3653,2,2,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,221,0,0
1775599556096,61,/r/r1.crl-9,200,OK,Website1 1-2,text,true,,1706,150,3,3,http://c.pki.goog/r/r1.crl,60,0,31
1775599555620,556,/beacon-8,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 556 milliseconds, but should not have lasted longer than 250 milliseconds.",325,11833,3,3,https://t.fastcmp.com/beacon,556,0,376
1775599556140,188,/docs/common/netcheck.gif-1,200,OK,Website1 1-3,bin,true,,800,882,3,3,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,188,0,105
1775599556330,72,/-2,200,OK,Website1 1-3,text,true,,51394,704,3,3,https://www.w3schools.com/,68,0,38
1775599556404,206,/v1:GetHints?-3,200,OK,Website1 1-3,text,true,,416,646,3,3,https://optimizationguide-pa.googleapis.com/v1:GetHints?,197,0,122
1775599556158,559,/beacon-8,200,OK,Website1 1-2,text,false,"The operation lasted too long: It took 559 milliseconds, but should not have lasted longer than 250 milliseconds.",325,11833,3,3,https://t.fastcmp.com/beacon,559,0,376
1775599556178,582,/sync-6,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 582 milliseconds, but should not have lasted longer than 250 milliseconds.",1564,732,3,3,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.09964013445725473&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,582,0,387
1775599556762,37,/iFrameSyncer-10,403,Forbidden,Website1 1-1,text,false,,418,962,3,3,https://sync.connectad.io/iFrameSyncer?gdpr=0&consent=&us_privacy=1---&gpp=&gpp_sid=&cb=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dconnectad%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,37,0,26
1775599556613,243,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-3,,true,,394,567,3,3,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,32
1775599556801,191,/usync/prbds2s-11,200,,Website1 1-1,,true,,136,947,3,3,https://rtb.gumgum.com/usync/prbds2s?gdpr=0&gdpr_consent=&us_privacy=1---&r=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dgumgum%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,191,0,128
1775599556857,214,/consent-require-renewal?_profile=stub-2-5,200,OK,Website1 1-3,text,true,,1003,3653,3,3,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,214,0,0
1775599557072,63,/r/r1.crl-9,200,OK,Website1 1-3,text,true,,1706,150,3,3,http://c.pki.goog/r/r1.crl,63,0,29
